mandarin,wu
还可以 不是很累,还可以，伐是老吃力呃
你上什么班啊 这趟车累么,侬上啥呃班呀 搿趟车吃力嘛
神经 我发觉你的口才越来越好了,发神经 吾发觉侬呃口才越来越好了
为什么 我那么差吗,为啥吾介差吗
不发了 我睡了,伐发了 吾困勒
亲爱的，我要睡了噢，晚安！,亲爱呃，吾要困觉啰，晚安！
还怕别个乘客跑袄阿,还怕别个乘客跑特啊
忽悠你那是小儿科啦,忽悠侬搿是小儿科啦
不好意思我在洗澡,伐好意思吾辣汏浴
快把水买来撒,快眼拿水买的勒
那你还是别想了吧。,诶么侬还是伐要想了伐。
见尚红丽了吧 长成撒样了 靓哈了么,看见尚红丽了伐？长成啥样子了？靓瞎忒了伐？
我尽力帮你找一找 你觉得范文怎么样,吾尽力帮侬寻一寻 侬觉着范文哪能
没有啊，怎么了啊！老公,没啊，哪能啦！老公
以后就可以了,下趟就来塞了
不想我了吗,伐想吾了吗
哥哥是大伯的儿子拉！,哥哥是爷叔拉儿子咯！
让我该知道怎么去选择,让吾该晓得哪能去选择
哈哈哈哈哈哈哈哈收到了就是有些吓人,哈哈哈收到了就是有点吓拧
漂亮！宝贝你刚拍的吗,漂亮！宝贝侬刚刚拍呃啊
老婆多喝水，要不就不理你了！,老婆多吃眼茶，要伐然就伐睬侬了！
我刚还在想你会不会开电脑呢。,吾刚刚还辣辣想侬会得开电脑伐。
早点休息晚安媳妇我爱你。,早点休息晚安新妇吾爱侬
我不是嘴上随便说说，答应你的,吾伐是随便讲讲呃，答应侬了
没有 我没那么大精神,没，吾没搿大呃精力。
谁啊，你说我吗？,撒拧啊，侬讲吾吗？
没关系 我到家了 睡了,没关系吾到屋里相了困了
做个好能吧！,做个好呃能吧！
只有你是我说话的人。,只有侬是吾讲闲话呃拧
笨蛋睡了没有,戆大困了伐
你的意思是！有了！,侬呃意思是！有了！
怎么原谅我你说。,哪能原谅吾侬讲。
好吧！睡觉 晚安！好想抱抱你 唉,就搿能葛伐！困觉了，老想抱抱侬呃，唉
我知道你还是喜欢你老婆,吾晓得侬还是欢喜侬老婆
哦 别忘电话关机,哦 伐要忘记特电话关机
最起码心还是好的。,最起码心还是好呃。
发短信就打不进电话吗？,发短信就打伐进电话吗？
做不做工程在巴里坤几千平方米全包,做伐做工程辣辣巴里坤几千平方米全包
老婆也会对老公更好！,老婆啊会的对老公更加好！
我知道你是在开玩笑啦！,吾晓得侬是来开玩笑
哈哈哈哈大笑！,哈哈哈哈！
那还让他睡到你那,拿让伊困到侬呢
宝贝在买艳家,宝贝辣海买衣架
就是你性格不好！,就是侬性格伐好！
就和好朋友出去吃完饭就回家了,就跟好朋友出去吃好饭就回去了
不要轻易爱上一个人哦！,伐要轻易爱上一个人哦！
因为不能接电话白天我可以给你打嘛,因为伐能接电话 日里向吾可以拨弄打电话吗
你晚上不回了吗,侬夜到伐回来啦
我们睡觉吧，我打球累了，晚安！,阿拉困觉伐，吾打球打吃力了，晚安！
看样我做人，由其是恋人很失败。,看样子吾做人尤其是恋拧老失败呃
我睡不着！你现在是不是觉得我很坏啊？,吾睡伐着！侬现在是伐是觉得吾老坏呃？
还跑来添什么乱啊！,还跑过来寻啥事体啊！
我喜欢你，喜欢和你在一起！,吾喜欢侬，喜欢和侬登辣一道！
你这家伙太恶心了,侬搿瘪三忒恶心了
时吃饭 按时休息 注意身体噢！,按时吃饭按时休息注意身体噢！
那可不行这很重要的你不能耍赖,搿伐来塞搿老重要呃侬伐好赖忒
那不就完了吗,搿伐就结束了吗
我也想要营光棒那,吾也想要荧光棒哎
姐我今晚不能陪你了哦！,姐姐吾今朝夜里相伐能陪侬了哦！
今天来掂个菜！,今朝来点只菜！
顺便问下 你将要会谁啊,顺便问声 侬要会撒拧啊
熊妈妈 熊爸爸特别特别爱你,熊妈妈 熊爸爸特别特别爱侬
那总不能打通宵吧？,葛末总归伐好打通宵伐？
难道你曾经昏迷过吗？,难道侬曾经昏过去吗？
今天一听到这消息他们都像霜打的茄子！,今朝听到个饿消息伊拉侪像绑了双噶子一样！
喂 狠不爽噢！,喂，狠伐爽噢！
你明天去干吗,侬明朝去组撒伐
你多呆几十年,侬多待几十年
电视剧里的话,电视剧里头呃闲话。
我要睡觉了！你也早点睡了,吾要困觉了！侬也早点困伐
罢了，我睡了，你也早点休息,好勒，吾困勒，侬也早点休息
我错说了，可不敢生气，你真中阿？,吾讲错特了，吾伐敢生气，侬真呃来塞啊！
你们什么时候生物会考,那啥辰光生物会考
睡觉了吗 我们马上就回去了,困觉了吗 阿拉马上就回去了
好，我没有生气。我会把你叫醒的！,好，吾没生气。吾会的叫醒侬的！
哎 没诚意么！！,哎 没诚意么！！
就是忙，我忙完给你发短信吧！,就是忙，吾忙好帮侬发短消息好嘞！
我说的对不对啊,吾讲了对伐？
特价货进店即刻调价,特价货进店即刻调价
你可知道我有多么想你？,侬可晓得吾有多少想侬？
你们到了吧？早点休息！,那到了吧？早眼休息！
看见什么了啊,看到啥啦？
不要太过伤心 知道嘛,伐太过伤心了晓得伐
你看我们现在更亲近！,侬看阿拉现在更亲近！
不说了，我睡觉了，晚安,伐讲了，吾困觉了，晚安
你说过你会来的么。,侬讲过侬会的来呃伐。
我没事的 刚才车长和我说话呢 刚走,吾没事体呃，刚刚车长跟吾讲闲话呢，刚走。
为什么你不能忘好处想呢！,为啥侬伐能往好呃地方想喃
是吗 我好高兴呀！你知道我现在笑吗,是伐 吾老高兴呀！侬晓得吾现在笑吗
唉 我们上号说吧！,唉，阿拉上号再讲伐。
恩 还没去呢，明天去呢,恩，还没去，明朝去
你再费话多点就更多了！,侬再费闲话多点就更加多了！
上了高速公路就快到了,上了高速公路就快到了
睡没 你这是什么意思啊,困了伐 侬搿是啥意思啊
什么记录啊，老公，我也想你呢？,啥呃记录啊，老公，吾也想侬？
你接着睡吧！,侬继续困伐！
就是的 老公比我重要吗,就是呃 老公比吾重要吗
你瞌睡了还是,侬瞌睡了还是
不要这样回复直接回复,伐搿样回复直接回复
我也不知道 就看你送什么了！老公,吾也伐晓得 就看侬送啥物事了！老公
就是现在有些迷盲,就是现在有些迷茫
吃好叻好饱俄减肥现在103斤叻,吃好弄好饱呃减肥到现在一百零三斤叻
可以。你叫也胡安是不是真的呀？,可以呃。侬也叫胡安是伐是真呃呀？
是啊我刚反应过来的,是伐吾刚反应过来
等会儿 我吃饭的哪,等特歇哦 吾吃饭呢
咳 在干吗呢,嘿，辣海做撒呢？
怎么了？在想什么睡不着呢！,哪能啦？辣海想啥么子困伐着啦！
我姐她们谢谢谢你买的瓜,阿拉阿姐伊拉谢谢谢侬买呃瓜
我敲了墙 你没声音啊,吾敲了墙 侬没声音呃
我还没回家,吾还没回到屋里
现，你真的不错，还会做饭，体贴人。,伊，侬真呃伐错，还会的做饭，体贴拧。
没有吧 这么严重！,没吧 介严重！
你要帮帮忙 老是叫不出来,侬要帮帮忙 老是叫伐出来
你何尝想过我的感受,侬啥辰光想过吾呃感受？
我还知道到你空间里看看呢！,吾还晓得到侬空间里向去看看！
干什么，我怎么知道没有了,组撒，吾哪能晓得没了
哼哼 那我就是写给出现的他喽 ！,哼哼，葛末吾就是写拨出现伊呃喽！
你也是 早睡觉把,侬阿是，早点困高吧
哇！不会吧！我是阿好,啊！伐会伐！吾是阿好
你有作坏事吗？？？对我,侬辣作坏事体伐？？？对吾
以后 王迪参与的事 我退出！,下趟王迪参与呃事体吾退出！
我们分开他们才高兴吗？,阿拉分开伊拉侪高兴吗
不知道你把我当什么,伐晓得侬拿吾当撒
虽然知道你会嫌弃吧！,虽然晓得侬会嫌弃伐！
你哥哥我还没那么小气吧！,那哥哥吾还没介小气伐！
哥哥你下班了 你在有几天才能过来,阿哥侬午班啦，侬还有几天才好过来
你觉得我这个人怎么样,侬觉得吾搿拧哪能
长了才好看呢,长勒再好看眼
我在一个姐姐家住了,吾辣一个姐姐屋里向住了
行了，白菜那就睡觉吧！,好了，不睬，葛末就困觉伐！
我今晚不去了改天过去你别不理我,吾今朝夜里向伐过去了改天过去侬伐要伐理睬吾
在伊力呢 她来了发信息把,在伊力呢 伊来了发信息吧
吃点药，喝点热水，早早睡觉啊,吃眼药，吃眼热水，早眼困高啊
怎么会然我亲爱的老婆受委屈啊！,哪能会的让吾亲爱呃老婆受委屈呢！
郭伟，回来了吗？,郭伟，回来了伐？
我说一个人李小霞你知到吗？,吾讲一个拧李小霞侬晓得伐？
那么快！！你认真洗没有？？,介快！！侬认真汏勒伐？？
你怎么了不回信息,侬哪能伐回消息啊？
在干什么呢啊！睡了没！,辣该做啥呢啊！困了伐！
我今天干了件事情,吾今朝做辣桩事体
看上谁表白就完了呀！,看相撒拧就去表白就好了呀！
哦，你们两个人了么老婆，那太好了哦,哦，那两个老婆，阿忒好了
女孩答 查了，车子房子都有。,小姑娘讲苏了，簇子房子侪有。
自古多情总伤悲！,自古多情总伤悲！
我有点困了，明天和你说，好吗？,吾有眼困了，明朝特侬讲，好伐？
我们在闲聊,阿拉辣海噶三胡
明天有啥子活动哟？,明朝有啥活动伐？
我调静音了听不到明天还要早起呢晚安,吾调静音了听伐到明朝还要早起唻再会
你的梦里有过我吗,侬呃梦里有过吾伐
恩 老公晚安呢,嗯 老公明朝会
没什么 我和陈琳在外面玩,没撒，吾帮陈琳了外头白相
你怎么还不上线啊，我都快等睡着了,侬哪能还伐上线啊，吾等了侪快困着了
即然你不好说那我也就不问了吧！,即然侬伐港，噶么吾也就伐闷了吧！
不烧了 但是心疼了,伐烧了，但是心痛了
那好吧 不好意思啊,那好伐 伐好意思啊
希望你能在我心里永远都是那么友好！,希望侬能辣吾心里永远才是介友好！
你们的成绩还没出来吗,那呃成绩还没出来吗？
你什么时候睡觉呢,侬啥辰光困觉呢
怎么还不回来啊！,哪能还伐回来啊！
她可是把一切都给了你，你忍心吗？,伊可是拿一切侪拨了侬，侬忍心伐？
我晚上在斗地主，不过输了四十块。,吾夜到辣海斗地主，伐过输特四十块。
吃饭 口里来了几个朋友,吃饭 口里来了几个朋友
这也有错啊！,搿啊有错啊！
你先玩 我就过去,侬先孛相 吾就过去
呵 我和她也许结束勒吧,呵，吾帮伊可能结束了
对不起对不起,对伐起对伐起
我没想相信吗？呵呵,吾没想相信吗？呵呵
过一会就睡,过一歇歇就困
还没秀完羞不羞啊！,还没秀完羞伐羞啊！
想你 你在干嘛,想侬，侬辣海做撒。
我也知道那个坏那个好！,吾啊晓得埃有呃坏埃有呃好
好了啦！我困死了！晚安，哥！,好了啦！吾困死特勒！夜安，阿哥！
想你的怎么会不想那,想侬呃，哪能会得伐想喃？
不急慢慢说，给你机会,伐急慢慢叫讲，拨侬机会
红 你别这样,红，侬伐要搿能
批语 孩子 你弟弟是植物人吗,批语 小拧 侬弟弟是植物拧吗
亲爱的 你在干嘛呀,达令侬辣组撒
没给我说你们,没给吾讲那
你是不是也听爽子得在北京了！,侬是伐是啊听伊呃登辣北京了！
呵呵，老婆我睡了,呵呵，老婆吾困了
老是憋在心里也难受,老是憋辣心里相也伐色一
晚安，你这几天也不知道怎么了？,晚安，搿几天侬也伐晓得哪能勒？
你们安全到了吧,那安全到了伐
我最爱的人是你最恨的人也是你。,吾最爱呃拧是侬最恨呃拧也是侬。
我刚安全的抵达房子了！,吾刚刚安全抵达房子了！
你们会考要用身份证吗？,那会考要用身份证伐？
现在怎么每晚这么晚还没睡呢 美女,现在哪能每回介晚还没困呢美女
你老一个姿势睡觉应该不会,侬老是一个姿势困觉应该伐会
你赖皮我在线啊，现在还等你上网呢。,侬赖皮吾辣海线上头呀，现在还辣等侬上网呢。
我也很着急呢,吾啊老急呃呀
你是 但是谢谢啊！,侬是 但是谢谢哦！
呵，在我眼里你不老,呵，辣海吾眼里侬老年轻呃
我永远决定与您相伴！,吾永远决定跟侬相伴！
你给她的伤害已经形成了！,侬拨伊呃伤害已经形成了！
等我到时只怕你还没脱完鞋呢！,等吾到搿辰光，只吓侬还没脱鞋子喃！
你开开心心的 想你的艳啊！,侬开开心心呃想侬呃艳啊！
为什么会问我们以后呢,组撒会的问阿拉下趟啊
别把我想的那么坏,伐要拿吾想得介坏
我回了啊！我一直在回啊！你没收上吗？,吾回了呀！吾一直辣海回啊！侬没收到吗？
嘿嘿 我都是好人,嘿嘿吾都是好人
不用 我也只打一个月,伐用 吾也只打一个号头
我的腿神经又疼了，可疼拉！,吾呃腿神经又疼了，老痛呃！
答应我件事好不,答应吾庄事体好伐
可能你高一点 可我没看出来。,可能侬高一眼 但是吾没看出来。
我在宿舍不好写 有人爱凑过来看！,吾辣海宿舍伐好写有拧还凑过来看！
我冤枉啊 我现在去洗,吾冤枉啊 吾现在去汏
我知道了老婆，完了早点给爸爸说说。,吾晓得了老婆，早眼结束了帮爸爸讲讲。
哦我有一存照,哦吾有一寸照呃
对我有什么看法？,对吾有啥看法？
人祝你永远快乐 你的快乐是我的幸福！,祝侬永远快乐 侬呃快乐是吾呃幸福！
你上号为撒不理我,侬上号勒哪能伐睬吾啊
呵呵，对我就是骗子我是个超级大骗子,呵呵，对吾就是骗子吾是个超级大骗子
你给包说一声我晕倒的事,侬帮包讲一声吾昏倒呃事体
不会！闭上眼睛睡睡就好了！,伐会！闭牢眼睛困困就好了！
就我和张丽回来了,就吾特张丽回来了
哈哈！没气你 说实话,哈哈！没气侬 讲实闲话
我现在看视呢明天见面吧明天早上见面吧,吾现在看视呢明朝碰头伐明朝早哴头碰都伐
波波一切尽在不言中你懂,波波一切尽在伐言中侬懂呃
就这样我成绩也慢慢下降了,就搿能嘎吾成绩也慢慢下降了
不管啥事，你都不会帮我,伐管撒事体，侬侪伐会帮吾呃
今晚吃了 呵为了这张吃饭的嘴没办法啊,今朝夜里相吃呃 呵为了搿张吃饭呃嘴巴没办法啊
或许你就不知,或许侬就伐晓得
不要开心的睡不着觉就行了，睡觉了！,伐要开心呃困伐着觉就可以了，困觉唻！
我不知道，你要给他介始什么,吾伐晓得侬还拨伊介绍啥
老公，你还在洗衣服呀？,老公，侬还辣该汏衣裳呀
别晕我也刚刚收到想起你就发了,伐要晕吾也刚刚收到呃想到侬就发了
不要觉的惭愧！,伐要觉着惭愧！
过，我不喜欢这样，老婆，你自己想想吧,过，伐喜欢搿样，老婆，侬自家想想伐
我们怎么没听说呀！,阿拉哪能没听说啊！
那我不抱了，就让它在你面前晃！,搿吾伐跑了，就让伊辣侬面前晃！
想你 ，你的一切,想侬，侬是一切。
我有点事要做 做完就睡了 你也睡吧,吾有点事体要做，做好了就困，侬先困伐
真的不好意思噢！,真呃伐好意思噢！
万一你夫妻不和，我但不起,万一侬夫妻伐和，吾但当伐起
我们的感情 你不是你想的那样,阿拉呃感情伐是侬想呃埃能噶
真的 不存钱真的不行！,真呃，伐存钞票伐来塞！
如果我们真的分了，你肯定恨死我了。,如果阿拉真呃分了，侬肯定会的恨死吾呃。
老婆，下班没有？我过去接你好不好？,老婆，下班没？吾过去接侬好伐？
给我们唱歌好吗 哥哥今天我过生日,拔阿拉唱歌好伐，哥哥吾今朝吾过生日
对了 熬夜是会长胖的,对了 熬夜是会长胖呃
老公 我睡觉了 晚安 想我！,老公，吾困高了，要想吾！
哈哈，你知道啊哈？,哈哈，侬晓得伐？
可是却非要这样对我！,可是吾却一定要搿能噶对吾！
我把身份证都给你了。,吾拿身份证侪拨侬了。
难道来了办事方便了吗,难道来了办事方便了吗
什么你都不知道！,侬撒物事也伐晓得！
宝贝在过一会睡！,宝贝再过特一歇困！
你现在给我回个电话。,侬现在拨吾回只电话。
他是深圳的，可能觉得新疆挺好的吧！,伊是深圳呃，可能觉得新疆蛮好呃伐！
不早了你快睡觉吧？,伐早了侬快点困觉伐？
我只要你相信我,吾只要侬相信吾
你回去，你不回去我会气死,侬回去，侬伐回去吾会得生气
我没那么晚给你发！,吾没介晚拔侬发！
你还能记得老婆啊,侬还能记得老婆啊
亲爱的收到短信没,亲爱呃收到短信伐
明天还要好好学习呢。,明朝还要好好学习.
知道了，谢谢你了,晓得了，谢谢侬了！
她现在要去见老男人你说我给她开门吗,伊现在要去寻老男拧侬讲吾拨伊开门伐
你不是开通彩信了吗,侬伐是开通彩信了吗
我在家，我回来你没看见吗,吾辣海窝里相，吾来呃辰光侬没看见吗
是李小合给小英说的电话！,帮李小跟小英讲呃电话！
是呀就在二十分钟以前我和金小优分手的,是呃呀就辣二十分钟以前吾特金小优分手了
哎 那怎么办呢？我的人生就是如此悲哀,哎 哪能办喃？吾呃人生就是介悲哀
哦 亲爱的太晚把！,哦 亲爱呃忒晚吧
如果没有我们就是天生的知己。,假如讲没阿拉就是天生呃一对。
终于哭完了,终于哭光了
只要不是无理的。,只要伐是无理呃。
郭郭下班了吧,郭郭下班了吧
睡吧 盖好被被,困伐 被头盖盖好
我也在想！我以后的知心爱人,吾也辣该想！吾下趟呃知心爱人
今天的确没抽出时间来充！,今朝的确没抽出辰光来充！
你们下午打的牌还是麻将啊,那下半日打呃是牌还是麻将啊？
我现在又瞌睡了。,吾现在又瞌冲了。
我准备睡了，累啊。,吾准备困了，吃力啊。
你好象忘说什么了,侬好象忘记特讲撒物事了
你不会真把那句话给说出来了吧,侬伐会真把那句闲话给讲出来吧
祢还回家麽 祢在哪呢,侬还回屋里伐侬辣啊里的呢
看到吗？你的呢，老婆,看到了吗？侬呃呢，老婆
不是吧！能给我说说看啊,伐是伐！好帮吾讲讲看伐
亲爱的 你还不困吗？,亲爱呃侬还伐困吗？
给你10分中！,拨侬十分钟！
有个信息不是说了吗？,有则信息伐是讲过了吗？
也没有什么不高兴我的性格就是这样！,啊没啥伐高兴吾呃性格就搿能噶！
明天现汉课不上,明朝呃现汉课伐上
小新 有空回信啦！,小新 有空回信啊！
我记得你当初说过一句话就非我不取啊！,吾记得侬当初刚过一句话就是非吾伐娶呃！
今晚陪我好吗 今天我生日,今朝夜到陪吾好伐今朝吾生日
今天就说到这，晚安,今朝就讲到搿得，明朝会。
我不是故意打扰你的！,吾伐是故意打扰侬呃！
等我想通了再说吧！,等吾想通了再讲伐！
所以我也一直没睡着！,所以吾也一直没困着！
我电话在家 我也没办法,吾电话来屋里相，吾也没办法！
没意思 你很固执 那我不说就是,没意思 侬老强呃 葛末吾伐讲就是了
有七辆车在拉，还是有点少了。,有七部车子勒该拉，还是有眼少了。
你那场子客人少 还是撒,那侬搿场子客拧少，还是撒？
带来吧 我不希望你再象刺猬一样扎到我,带来伐 吾伐希望侬再像刺猬一样扎吾
你知道你这样说我是又感动又怕我说真的,侬晓得侬搿能葛讲吾是又感动又怕吾讲真呃
不过还是要谢谢您的祝福呒。,伐过还是要谢谢侬呃祝福。
哎，喜欢你要理由吗！,哎，欢喜侬要理由吗！
呵 羡慕不,唉羡慕伐
宝贝我就在网吧！,宝贝吾就辣该网吧！
恩！刚在忙！过的还好！你呢,恩，前头辣忙！过了还可以！侬呢
迩赶快回去 我眼睛都睁卜开仂 快点！,侬赶快回去 眼睛都睁伐开了快点！
领导 下班了吧 快去洗澡吧。,领导 下班了伐 快点去汏浴伐。
两年等来的就这句话,两年来就等来搿句闲话
不管我在做什么！,伐怪吾勒海做撒！
我现在打电话好不好,吾现在打电话好伐好
以后不是还有很多次生日要过呢。,以后伐是还有交关趟生日要过吗。
知心爱人 晚安 吻你！,知心爱拧明朝会伐亲侬！
噢 你困了吗,噢 侬瞌冲伐
你醉了吗？等我来背你,侬吃醉特了伐？等吾来背侬
你还没睡啊 都在干什么啊,侬还没困啊侪辣做啥啊
我会记住的 我要睡觉了,吾会得记牢呃吾要困觉了
不回答我的问题不想见面还是,伐回答吾呃问题伐想见面还是
那就不要多事了，万一伤了，我多难受！,那么就伐要多事体了，万一伤了，吾多少难受啊！
念你 爱你！,想侬，爱侬！
随时欢迎 想你哥哥我没有,随时欢迎 想侬阿哥吾没呃
万一在睡着了咋办。,万一辣搿睡着了哪能办。
是不是有一姐姐的感觉真好啊！,是伐是有一个姐姐呃感觉真呃老好啊！
不你还小，还没成熟,没侬还小，还没成熟
这还要我教啊！叫小名好了！君君,搿还要吾教啊！叫小名就好了！君君。
好我答应你,好吾答应侬
不是 我忙啊,伐是，吾忙啊
大半夜的出去干吗,大半夜呃出去做撒？
没有怎么了？你干什么呢？,哪能没了？侬辣组撒？
那样我就闷死！,葛样吾就闷死！
你也好着里吧，你妹妹考的怎样啊？,侬啊好辣该伐那阿妹考辣哪能啊？
我怎么去找你啊？,吾哪能去寻侬啊？
那就走团购和批发,那就走团购和批发
宝贝那么体贴人啊！,宝贝介体贴拧啊！
我一定主动联系你的。,吾一定会的主动联系侬呃。
你冬天一般在干嘛,侬冬天一般性勒做撒嘛
我明后天可能要用,吾明后天可能要用
今天给你发短信都不回 生气了！,今朝帮侬发短信侪伐回，生气了！
别觉得我是好欺负的知道吗,伐要觉着吾是好欺负呃晓得伐
收到了 就是看不清 在照一个发过来！,收到了，就是看伐清爽，侬再拍一张发过来！
其实我也真的不想失去你。,其实吾啊真呃伐想失去侬。
奶水够吃的吧,奶水够吃呃伐
你居然这样想我的呢！,侬居然搿样想吾呢！
我想你们，，，，！！！！,吾想那，，，，！！！！
你干紧写作业吧！,侬赶快写作业伐！
话可要说清楚呀,闲话要讲讲清爽
不是你多大！好小的一只猫！,伐是侬多大！好小呃一只猫！
我的床太硬了嘿嘿！,吾呃床忒硬了嘿嘿！
好老公你也快睡把,老公侬也快困觉伐
回电话，有急事！,回电话，有急事体！
行了 你好自为之吧！你自己看着办吧！,就搿能噶伐 侬灵灵清！自家看了办！
自己身体不好还不乖吗,自家身体伐好还伐乖
我没别的意思哦 你家就你一个孩子吗？,吾没其他意思哦 那屋里相就侬一呃小囡啊？
就是的 本来明早走现在呢就走,就是呃 本来明早走现在呢就走
你不要乱想呀，哈哈,侬伐瞎想八想呀，哈哈
我知道的，你躺下没,吾晓得呃，侬躺下来伐
一中午都没睡觉！,一搿中哴向侪没困觉！
玩得愉快 ！,孛相了开心！
当然喽只是超级爱你呀！,当然喽只是超级爱侬啊！
你要幸福知道了嘛？,侬要幸福晓得勒吗？
觉，超枕头冰冰的,吾觉的，枕头老冰呃
你太好了 你是最好的,侬忒好了 侬是最好呃
我们彼此都不要再争强好胜了好吗！,阿拉彼此侪伐再去争强好胜了好伐！
你想已后过什么样生活！,侬想下趟过哪能噶呃生活！
可是你不在！,但是侬伐辣海！
睡了吗？还是在忙？,困了伐？还是辣该忙？
嗯，你把答案发来吧！,嗯，侬把答案发过来伐！
那么我肯定我们现在不会是这样,那么吾肯定阿拉现在伐会是搿能呃
嫂子你还没睡呢！,嫂子侬还没困呢！
不知道是你的问题还是我的问题！,伐晓得是侬呃问题还是吾呃问题！
嘻嘻 你不是说不让我管你么？,嘻嘻 侬伐是讲伐让吾管侬吗？
我还以为你在线！,吾也以为侬在线！
我们将来生活怎么办,阿拉将来生活哪能办
没说真心话呢看样子你以前的觉定是对的,没讲真心闲话嘞，看样子侬老早呃感觉侪是对呃。
我忘了是哪个了，我记性不好。,吾忘记特是啊里只勒，吾记性伐好。
我不活了！好吗？,吾伐活了好伐？
不管怎样你都要听我把话说完好吗？,伐管哪能侬侪要听吾拿闲话讲光好伐
哈哈哈哈 她不让我亲！,哈哈哈哈 伊伐拨吾亲！
不知到那做什么？,伐晓得到埃面的去做啥？
你最近过得怎么样,侬最近过了哪能样子
你和他打电话我很舒服是吧？,拨帮伊打电话吾老色意是伐？
你这阵到底怎么了啊！,侬搿抢到底哪能啦！
上去睡觉吧！,上去困觉伐！
就是我们不等她了。,葛末就是阿拉伐等伊了。
老婆 上当了。是二点才到！,老婆 上当了。是二点才到！
老公乖乖！老公不听话我不要了！,老公乖乖！老公伐听闲话吾伐要了！
你不要在想我了 想得我心里难受,侬伐要再想吾了，想得吾心里难过
你是谁呀？自己回,侬是撒拧啊？自家回
你怎么还说,侬哪能还讲
工作在忙再累也要照顾好自己！,工作在忙再吃力也要照顾好自家！
不啊！你呢,伐啊！侬呢
你是谁啊怎么不接电话,侬是萨宁啊，哪能伐接电话
那怎么办你不吃能行吗,那哪能办侬伐吃能来塞吗
明早联系你小事情,明朝联系侬小事情
还可以，你要瞌睡了就睡吧,还可以，侬要是要困觉了就困觉伐
噢，明天在说我睡觉了,噢，明朝在讲吾困觉了
在 准备回家了 你干啥去了,辣海准备回去了侬组撒去啦
我真的觉得好累好累,吾真呃觉得老吃力老吃力
我只能默默的祝福你，找到一个好女孩！,吾只好默默呃祝福侬，寻着一个好姑娘！
知道了 我惆怅,晓得了，吾惆怅
你们工资比我们高那么多！,那工资比阿拉高介西多！
老婆我要等你下班了才睡！,老婆吾要等侬下班了才困！
那么多么？都发我看看！呵呵,介许多啊？侪发拨吾看看！呵呵
我在吧台这边等你！,吾辣辣吧台搿得等侬！
额我都走到家门口了玩一会就回了,额吾侪是走到屋里向门口了再孛相一些就回去了
那我回去的时候怎么没看到你呀,葛末吾回去呃辰光哪能没看着侬啊
只是我的工作不好！,只是吾呃工作伐好！
明天我会去找你的，要想好哦！,明朝吾会的去寻侬呃，要想好哦！
速度研究下 帅哥,速度研究一下，帅哥
想清楚喔 可能有点痛喔,想清爽喔 可能有眼痛喔
我有那么多感情吗？,吾有噶西多感情伐？
可不是还得抱着老头子睡呢！,还伐是要抱辣老头子困觉呢！
呵呵呵呵呵呵呵呵呵呵 这就是爱情！,呵呵呵呵呵呵呵呵呵呵，搿就是爱情。
你关机了,侬关机了
你就看我以后的行动吧,侬就看吾以后呃行动伐
恩 你也是啊！好梦,嗯 侬啊是呃！做个好梦！
我就等你的信息，你睡了吗,吾就等老侬呃消息，侬困了伐
现在在路上是吗,现在辣路哴向啊是啊
我看的是电视上的时间还有错吗？,吾看呃是电视高头呃辰光还会的有错伐？
我们在聊我就对不起她了,阿拉现在再聊吾就对伐起伊了
被耍的感觉！,被耍呃感觉！
梦见自己的宝贝,梦到自家呃宝贝
没有钱要断网，我想睡了,没付钞票要断网，吾想困觉了
宝贝睡觉了吧！特别想你，吻你！,亲爱呃困觉了伐！特别想侬，亲一几！
网吧的事只能当教训背后收拾也,网吧呃事体只能当教训背后头收拾也
你想想她好像和你一个姓吧！,侬想想伊好像帮侬一个姓吧！
想你的时候可以妙一下,想侬呃辰光可以妙一下
看来你和我想的不一样。,看样子侬和吾想呃伐一样。
那准备干什么啊,那准备组撒
想日的让你上天,想侬呃日节让侬上天
你怎么会突然问这个问题,侬哪能会得突然问搿只问题
那我过去接你阿,那吾过去接侬阿
你也要好梦啊！,侬也要做呃好梦！
在客房看电视呢，你么出去玩,辣客厅看电视呢，侬没出去孛相
哦，你给小杨说没？,哦，侬帮小杨讲过伐？
你关机不要打电话不要发信息,侬关机伐要打电话伐要发信息
明天带电池呀，别又没电了！,明朝带电池呀，伐又没电了！
你和他人换着开吗？担心你分神,侬跟伊拧调的开伐？担心侬分神
还叫余哥见外了吧！莲！,还叫余阿哥见外了伐！莲！
你也挺累了吧！吃了吧！,侬也蛮吃力勒！吃了伐！
两桌 姐姐去睡了，出我一人看呢！,两桌 姐姐去困了，出吾一家头看呢！
我带呆在宿舍,吾带呆辣宿舍
没意思死了 一个人太寂寞了,特没意思了 一噶头忒寂寞了
就知道 明天满课哦你 那就早点睡吧！,就晓得，明朝满课哦侬，搿就早点困伐！
二孰麻将打了三十一个板子,二孰麻将打了三十一个板子
恩 就是想你了啊！,嗯 就是想侬啊！
嘿嘿 那就好 老婆 我爱死你了！,嘿嘿葛末就好，老婆，吾爱死侬了！
可我一收到你短信我就不想睡！,可吾一收到侬短信吾就伐想困了！
迩在哪呢我去找迩去。,侬勒该阿里的，吾去寻侬。
你咂还不睡啊,侬哪能还伐困觉啊
明天再说吧 我觉得这样也行！,明朝再讲伐，吾觉着搿能噶也好！
到家没有啊！,到屋里向没！
晕 那是我的其它号,晕 那是吾呃其它号
